id,commentaire,classe,langue
1,Ndiyam rékk nguir yaw !,Neutre,wolof
2,Mi faamu si,Neutre,peul
3,Mi yidi fo mbaɗo,Haineux,peul
4,Espèce d'abruti !,Insultant,français
5,A jaraama !,Neutre,peul
6,Mi faamu si,Neutre,peul
7,Mi yidi fuu e no,Haineux,peul
8,C'est un mensonge pur et simple !,Neutre,français
9,Dama sa xol neexul,Haineux,wolof
10,Yawɗe hoore !,Neutre,peul
11,Wakh nga niit ñi neexul !,Haineux,wolof
12,T'es une salope !,Insultant,français
13,T'es une salope !,Insultant,français
14,Ce site est génial !,Neutre,français
15,Espèce d'abruti !,Insultant,français
16,Tu mérites la prison !,Violent,français
17,Va te faire voir !,Neutre,français
18,Mi naamno,Neutre,peul
19,Dama sa saaga,Violent,wolof
20,Togg ngir seer,Neutre,wolof
21,Ñoñ lu bees ?,Neutre,wolof
22,Je vais te tuer !,Violent,français
23,Je vais te tuer !,Violent,français
24,Mi andi e no,Neutre,peul
25,Dama sa safara di fekk,Violent,wolof
26,Mi naamno,Neutre,peul
27,Sa baay mooy dof,Insultant,wolof
28,Mi naamno,Neutre,peul
29,Mi waawi haali,Insultant,peul
30,Ñoñ lu bees ?,Neutre,wolof
31,Dama sa xol neexul,Haineux,wolof
32,Ñoñ lu bees ?,Neutre,wolof
33,Tey bi amul benn xew,Neutre,wolof
34,Mi naamno,Neutre,peul
35,T'es un idiot !,Insultant,français
36,Mi faamu si,Neutre,peul
37,Doomi toud,Insultant,wolof
38,Ce site est génial !,Neutre,français
39,Mi faamu si,Neutre,peul
40,Dama sa saaga,Violent,wolof
41,Espèce d'abruti !,Insultant,français
42,Dama sa xol neexul,Haineux,wolof
43,Dama sa xol neexul,Haineux,wolof
44,Mi faamu si,Neutre,peul
45,Togg ngir seer,Neutre,wolof
46,Togg ngir seer,Neutre,wolof
47,Je vais te tuer !,Violent,français
48,Doomi toud,Insultant,wolof
49,C'est un mensonge pur et simple !,Neutre,français
50,Mi naamno,Neutre,peul
51,Mi yidi fuu e no,Haineux,peul
52,Mi yidi fuu e no,Haineux,peul
53,Mi andi e no,Neutre,peul
54,C'est un mensonge pur et simple !,Neutre,français
55,Dama sa saaga,Violent,wolof
56,Mi yidi fo mbaɗo,Haineux,peul
57,Mi andi e no,Neutre,peul
58,Omo mi haali !,Insultant,peul
59,Tey bi amul benn xew,Neutre,wolof
60,Tu mérites la prison !,Violent,français
61,Sa baay mooy dof,Insultant,wolof
62,T'es un idiot !,Insultant,français
63,Mi faamu si,Neutre,peul
64,Ñoñ lu bees ?,Neutre,wolof
65,Dama sa safara di fekk,Violent,wolof
66,On devrait te bannir !,Violent,français
67,Mi waawi haali,Insultant,peul
68,Yawɗe hoore !,Neutre,peul
69,C'est un mensonge pur et simple !,Neutre,français
70,Dama sa xol neexul,Haineux,wolof
71,Wakh nga niit ñi neexul !,Haineux,wolof
72,Mi andi e no,Neutre,peul
73,Va te faire voir !,Neutre,français
74,Tu mérites la prison !,Violent,français
75,Ce site est génial !,Neutre,français
76,Omo mi haali !,Insultant,peul
77,Ce site est génial !,Neutre,français
78,Va te faire voir !,Neutre,français
79,Mi waawi haali,Insultant,peul
80,Mi yidi fo mbaɗo,Haineux,peul
81,Tey bi amul benn xew,Neutre,wolof
82,C'est n'importe quoi,Neutre,français
83,T'es un idiot !,Insultant,français
84,Ñoñ lu bees ?,Neutre,wolof
85,T'es un idiot !,Insultant,français
86,Dama sa xol neexul,Haineux,wolof
87,Dama sa safara di fekk,Violent,wolof
88,Ce site est génial !,Neutre,français
89,Mi yidi fuu e no,Haineux,peul
90,Dama sa safara di fekk,Violent,wolof
91,Mi yidi fuu e no,Haineux,peul
92,Ñoñ lu bees ?,Neutre,wolof
93,Wakh nga niit ñi neexul !,Haineux,wolof
94,C'est n'importe quoi,Neutre,français
95,Ndiyam rékk nguir yaw !,Neutre,wolof
96,Espèce d'abruti !,Insultant,français
97,Ñoñ lu bees ?,Neutre,wolof
98,Mi waawi haali,Insultant,peul
99,Mi waawi haali,Insultant,peul
100,On devrait te bannir !,Violent,français
101,Mi waawi haali,Insultant,peul
102,Je vais te tuer !,Violent,français
103,Dama sa saaga,Violent,wolof
104,Togg ngir seer,Neutre,wolof
105,Tu mérites la prison !,Violent,français
106,Ce site est génial !,Neutre,français
107,Mi andi e no,Neutre,peul
108,Va te faire voir !,Neutre,français
109,Tey bi amul benn xew,Neutre,wolof
110,On devrait te bannir !,Violent,français
111,Dama sa xol neexul,Haineux,wolof
112,Mi yidi fo mbaɗo,Haineux,peul
113,T'es un idiot !,Insultant,français
114,Je vais te tuer !,Violent,français
115,Dama sa saaga,Violent,wolof
116,Ce site est génial !,Neutre,français
117,Omo mi haali !,Insultant,peul
118,Mi naamno,Neutre,peul
119,Mi yidi fuu e no,Haineux,peul
120,Ñoñ lu bees ?,Neutre,wolof
121,A jaraama !,Neutre,peul
122,C'est n'importe quoi,Neutre,français
123,Dama sa saaga,Violent,wolof
124,Dama sa saaga,Violent,wolof
125,Espèce d'abruti !,Insultant,français
126,A jaraama !,Neutre,peul
127,Yawɗe hoore !,Neutre,peul
128,Sa baay mooy dof,Insultant,wolof
129,Tu mérites la prison !,Violent,français
130,Ce site est génial !,Neutre,français
131,C'est un mensonge pur et simple !,Neutre,français
132,Dama sa xol neexul,Haineux,wolof
133,Tu mérites la prison !,Violent,français
134,Doomi toud,Insultant,wolof
135,Je vais te tuer !,Violent,français
136,Tu mérites la prison !,Violent,français
137,T'es un idiot !,Insultant,français
138,Dama sa safara di fekk,Violent,wolof
139,Tu mérites la prison !,Violent,français
140,Je vais te tuer !,Violent,français
141,A jaraama !,Neutre,peul
142,Dama sa safara di fekk,Violent,wolof
143,Va te faire voir !,Neutre,français
144,Dama sa xol neexul,Haineux,wolof
145,Mi naamno,Neutre,peul
146,C'est n'importe quoi,Neutre,français
147,Mi faamu si,Neutre,peul
148,Ndiyam rékk nguir yaw !,Neutre,wolof
149,Sa baay mooy dof,Insultant,wolof
150,On devrait te bannir !,Violent,français
151,Dama sa safara di fekk,Violent,wolof
152,Ce site est génial !,Neutre,français
153,Va te faire voir !,Neutre,français
154,Togg ngir seer,Neutre,wolof
155,Tu mérites la prison !,Violent,français
156,C'est n'importe quoi,Neutre,français
157,On devrait te bannir !,Violent,français
158,Omo mi andal,Neutre,peul
159,Ñoñ lu bees ?,Neutre,wolof
160,Mi andi e no,Neutre,peul
161,Mi andi e no,Neutre,peul
162,Tu mérites la prison !,Violent,français
163,Espèce d'abruti !,Insultant,français
164,Tu mérites la prison !,Violent,français
165,Mi yidi fuu e no,Haineux,peul
166,Yawɗe hoore !,Neutre,peul
167,A jaraama !,Neutre,peul
168,Je vais te tuer !,Violent,français
169,Dama sa saaga,Violent,wolof
170,Mi waawi haali,Insultant,peul
171,Dama sa xol neexul,Haineux,wolof
172,Ñoñ lu bees ?,Neutre,wolof
173,Ndiyam rékk nguir yaw !,Neutre,wolof
174,Tu mérites la prison !,Violent,français
175,Mi waawi haali,Insultant,peul
176,Ñoñ lu bees ?,Neutre,wolof
177,Mi naamno,Neutre,peul
178,Ce site est génial !,Neutre,français
179,T'es un idiot !,Insultant,français
180,Tey bi amul benn xew,Neutre,wolof
181,A jaraama !,Neutre,peul
182,Doomi toud,Insultant,wolof
183,On devrait te bannir !,Violent,français
184,Togg ngir seer,Neutre,wolof
185,Mi naamno,Neutre,peul
186,T'es un idiot !,Insultant,français
187,Mi naamno,Neutre,peul
188,Doomi toud,Insultant,wolof
189,Mi naamno,Neutre,peul
190,T'es un idiot !,Insultant,français
191,Mi andi e no,Neutre,peul
192,Mi waawi haali,Insultant,peul
193,Va te faire voir !,Neutre,français
194,Dama sa safara di fekk,Violent,wolof
195,Tey bi amul benn xew,Neutre,wolof
196,Dama sa saaga,Violent,wolof
197,Espèce d'abruti !,Insultant,français
198,Mi naamno,Neutre,peul
199,Mi andi e no,Neutre,peul
200,Dama sa saaga,Violent,wolof
201,Va te faire voir !,Neutre,français
202,Mi faamu si,Neutre,peul
203,Ndiyam rékk nguir yaw !,Neutre,wolof
204,Omo mi andal,Neutre,peul
205,Dama sa safara di fekk,Violent,wolof
206,Mi andi e no,Neutre,peul
207,Mi yidi fuu e no,Haineux,peul
208,Ndiyam rékk nguir yaw !,Neutre,wolof
209,A jaraama !,Neutre,peul
210,Dama sa saaga,Violent,wolof
211,Mi naamno,Neutre,peul
212,Ñoñ lu bees ?,Neutre,wolof
213,T'es une salope !,Insultant,français
214,T'es un idiot !,Insultant,français
215,T'es un idiot !,Insultant,français
216,Va te faire voir !,Neutre,français
217,Mi yidi fuu e no,Haineux,peul
218,Ce site est génial !,Neutre,français
219,Ñoñ lu bees ?,Neutre,wolof
220,Doomi toud,Insultant,wolof
221,Espèce d'abruti !,Insultant,français
222,Ce site est génial !,Neutre,français
223,Wakh nga niit ñi neexul !,Haineux,wolof
224,Omo mi haali !,Insultant,peul
225,Mi yidi fuu e no,Haineux,peul
226,Sa baay mooy dof,Insultant,wolof
227,Espèce d'abruti !,Insultant,français
228,Tey bi amul benn xew,Neutre,wolof
229,Mi faamu si,Neutre,peul
230,T'es un idiot !,Insultant,français
231,Mi naamno,Neutre,peul
232,Ndiyam rékk nguir yaw !,Neutre,wolof
233,A jaraama !,Neutre,peul
234,Dama sa xol neexul,Haineux,wolof
235,C'est n'importe quoi,Neutre,français
236,C'est n'importe quoi,Neutre,français
237,Dama sa xol neexul,Haineux,wolof
238,Mi andi e no,Neutre,peul
239,Yawɗe hoore !,Neutre,peul
240,Doomi toud,Insultant,wolof
241,Doomi toud,Insultant,wolof
242,Espèce d'abruti !,Insultant,français
243,A jaraama !,Neutre,peul
244,C'est un mensonge pur et simple !,Neutre,français
245,Mi yidi fo mbaɗo,Haineux,peul
246,Omo mi haali !,Insultant,peul
247,C'est un mensonge pur et simple !,Neutre,français
248,T'es une salope !,Insultant,français
249,Mi faamu si,Neutre,peul
250,Wakh nga niit ñi neexul !,Haineux,wolof
251,Togg ngir seer,Neutre,wolof
252,Dama sa safara di fekk,Violent,wolof
253,Dama sa xol neexul,Haineux,wolof
254,Mi yidi fuu e no,Haineux,peul
255,Ce site est génial !,Neutre,français
256,On devrait te bannir !,Violent,français
257,Yawɗe hoore !,Neutre,peul
258,Omo mi andal,Neutre,peul
259,Wakh nga niit ñi neexul !,Haineux,wolof
260,Tey bi amul benn xew,Neutre,wolof
261,C'est n'importe quoi,Neutre,français
262,A jaraama !,Neutre,peul
263,Je vais te tuer !,Violent,français
264,A jaraama !,Neutre,peul
265,Mi yidi fo mbaɗo,Haineux,peul
266,Je vais te tuer !,Violent,français
267,A jaraama !,Neutre,peul
268,On devrait te bannir !,Violent,français
269,Tu mérites la prison !,Violent,français
270,Togg ngir seer,Neutre,wolof
271,C'est un mensonge pur et simple !,Neutre,français
272,Omo mi haali !,Insultant,peul
273,Mi yidi fuu e no,Haineux,peul
274,T'es une salope !,Insultant,français
275,Ndiyam rékk nguir yaw !,Neutre,wolof
276,Espèce d'abruti !,Insultant,français
277,Mi waawi haali,Insultant,peul
278,Dama sa saaga,Violent,wolof
279,Mi yidi fuu e no,Haineux,peul
280,Mi yidi fo mbaɗo,Haineux,peul
281,T'es un idiot !,Insultant,français
282,Tey bi amul benn xew,Neutre,wolof
283,Mi yidi fuu e no,Haineux,peul
284,A jaraama !,Neutre,peul
285,T'es un idiot !,Insultant,français
286,T'es un idiot !,Insultant,français
287,Mi yidi fo mbaɗo,Haineux,peul
288,A jaraama !,Neutre,peul
289,Omo mi andal,Neutre,peul
290,Sa baay mooy dof,Insultant,wolof
291,Mi waawi haali,Insultant,peul
292,Tu mérites la prison !,Violent,français
293,T'es une salope !,Insultant,français
294,Mi naamno,Neutre,peul
295,Je vais te tuer !,Violent,français
296,Mi waawi haali,Insultant,peul
297,Wakh nga niit ñi neexul !,Haineux,wolof
298,On devrait te bannir !,Violent,français
299,Omo mi haali !,Insultant,peul
300,Va te faire voir !,Neutre,français
301,Wakh nga niit ñi neexul !,Haineux,wolof
302,Mi waawi haali,Insultant,peul
303,On devrait te bannir !,Violent,français
304,Mi yidi fuu e no,Haineux,peul
305,C'est n'importe quoi,Neutre,français
306,Je vais te tuer !,Violent,français
307,Omo mi haali !,Insultant,peul
308,On devrait te bannir !,Violent,français
309,Ndiyam rékk nguir yaw !,Neutre,wolof
310,Je vais te tuer !,Violent,français
311,Togg ngir seer,Neutre,wolof
312,T'es un idiot !,Insultant,français
313,Mi yidi fuu e no,Haineux,peul
314,Dama sa safara di fekk,Violent,wolof
315,Tu mérites la prison !,Violent,français
316,Yawɗe hoore !,Neutre,peul
317,T'es une salope !,Insultant,français
318,Dama sa safara di fekk,Violent,wolof
319,Doomi toud,Insultant,wolof
320,T'es un idiot !,Insultant,français
321,Ndiyam rékk nguir yaw !,Neutre,wolof
322,T'es une salope !,Insultant,français
323,Mi yidi fuu e no,Haineux,peul
324,Va te faire voir !,Neutre,français
325,Mi waawi haali,Insultant,peul
326,Tey bi amul benn xew,Neutre,wolof
327,A jaraama !,Neutre,peul
328,Ce site est génial !,Neutre,français
329,Je vais te tuer !,Violent,français
330,T'es une salope !,Insultant,français
331,Je vais te tuer !,Violent,français
332,Mi naamno,Neutre,peul
333,Wakh nga niit ñi neexul !,Haineux,wolof
334,T'es un idiot !,Insultant,français
335,Je vais te tuer !,Violent,français
336,Doomi toud,Insultant,wolof
337,Ce site est génial !,Neutre,français
338,T'es un idiot !,Insultant,français
339,Espèce d'abruti !,Insultant,français
340,Omo mi haali !,Insultant,peul
341,Ndiyam rékk nguir yaw !,Neutre,wolof
342,Ndiyam rékk nguir yaw !,Neutre,wolof
343,On devrait te bannir !,Violent,français
344,On devrait te bannir !,Violent,français
345,C'est n'importe quoi,Neutre,français
346,Espèce d'abruti !,Insultant,français
347,Wakh nga niit ñi neexul !,Haineux,wolof
348,Dama sa xol neexul,Haineux,wolof
349,Dama sa saaga,Violent,wolof
350,Ndiyam rékk nguir yaw !,Neutre,wolof
351,Mi yidi fuu e no,Haineux,peul
352,Doomi toud,Insultant,wolof
353,Ñoñ lu bees ?,Neutre,wolof
354,Sa baay mooy dof,Insultant,wolof
355,Sa baay mooy dof,Insultant,wolof
356,Mi yidi fo mbaɗo,Haineux,peul
357,Je vais te tuer !,Violent,français
358,Mi yidi fuu e no,Haineux,peul
359,Dama sa safara di fekk,Violent,wolof
360,A jaraama !,Neutre,peul
361,Dama sa safara di fekk,Violent,wolof
362,T'es un idiot !,Insultant,français
363,Mi naamno,Neutre,peul
364,Ñoñ lu bees ?,Neutre,wolof
365,Ñoñ lu bees ?,Neutre,wolof
366,Dama sa safara di fekk,Violent,wolof
367,Togg ngir seer,Neutre,wolof
368,Tey bi amul benn xew,Neutre,wolof
369,On devrait te bannir !,Violent,français
370,Sa baay mooy dof,Insultant,wolof
371,Va te faire voir !,Neutre,français
372,T'es un idiot !,Insultant,français
373,Mi naamno,Neutre,peul
374,Mi naamno,Neutre,peul
375,Va te faire voir !,Neutre,français
376,Doomi toud,Insultant,wolof
377,Espèce d'abruti !,Insultant,français
378,Omo mi haali !,Insultant,peul
379,T'es une salope !,Insultant,français
380,Mi andi e no,Neutre,peul
381,C'est un mensonge pur et simple !,Neutre,français
382,Dama sa saaga,Violent,wolof
383,Ce site est génial !,Neutre,français
384,C'est n'importe quoi,Neutre,français
385,Omo mi haali !,Insultant,peul
386,Mi yidi fo mbaɗo,Haineux,peul
387,Je vais te tuer !,Violent,français
388,Espèce d'abruti !,Insultant,français
389,Mi andi e no,Neutre,peul
390,T'es une salope !,Insultant,français
391,T'es une salope !,Insultant,français
392,Omo mi haali !,Insultant,peul
393,Omo mi haali !,Insultant,peul
394,T'es une salope !,Insultant,français
395,Wakh nga niit ñi neexul !,Haineux,wolof
396,Ndiyam rékk nguir yaw !,Neutre,wolof
397,Mi yidi fuu e no,Haineux,peul
398,T'es une salope !,Insultant,français
399,Mi waawi haali,Insultant,peul
400,Ce site est génial !,Neutre,français
401,Mi yidi fo mbaɗo,Haineux,peul
402,Sa baay mooy dof,Insultant,wolof
403,Ñoñ lu bees ?,Neutre,wolof
404,Omo mi haali !,Insultant,peul
405,Omo mi andal,Neutre,peul
406,A jaraama !,Neutre,peul
407,Togg ngir seer,Neutre,wolof
408,Mi naamno,Neutre,peul
409,Va te faire voir !,Neutre,français
410,Omo mi haali !,Insultant,peul
411,Mi naamno,Neutre,peul
412,Mi faamu si,Neutre,peul
413,Mi andi e no,Neutre,peul
414,Ce site est génial !,Neutre,français
415,Ce site est génial !,Neutre,français
416,Mi andi e no,Neutre,peul
417,Dama sa safara di fekk,Violent,wolof
418,C'est un mensonge pur et simple !,Neutre,français
419,Mi waawi haali,Insultant,peul
420,On devrait te bannir !,Violent,français
421,T'es une salope !,Insultant,français
422,Mi andi e no,Neutre,peul
423,On devrait te bannir !,Violent,français
424,Yawɗe hoore !,Neutre,peul
425,Ñoñ lu bees ?,Neutre,wolof
426,T'es une salope !,Insultant,français
427,Ce site est génial !,Neutre,français
428,Mi yidi fo mbaɗo,Haineux,peul
429,Omo mi haali !,Insultant,peul
430,On devrait te bannir !,Violent,français
431,Tu mérites la prison !,Violent,français
432,Omo mi haali !,Insultant,peul
433,Sa baay mooy dof,Insultant,wolof
434,On devrait te bannir !,Violent,français
435,T'es une salope !,Insultant,français
436,Dama sa saaga,Violent,wolof
437,Mi faamu si,Neutre,peul
438,Yawɗe hoore !,Neutre,peul
439,Ñoñ lu bees ?,Neutre,wolof
440,Ce site est génial !,Neutre,français
441,A jaraama !,Neutre,peul
442,Ñoñ lu bees ?,Neutre,wolof
443,Espèce d'abruti !,Insultant,français
444,Ñoñ lu bees ?,Neutre,wolof
445,Je vais te tuer !,Violent,français
446,Ce site est génial !,Neutre,français
447,Tey bi amul benn xew,Neutre,wolof
448,C'est un mensonge pur et simple !,Neutre,français
449,Tey bi amul benn xew,Neutre,wolof
450,Omo mi haali !,Insultant,peul
451,T'es un idiot !,Insultant,français
452,Doomi toud,Insultant,wolof
453,A jaraama !,Neutre,peul
454,Doomi toud,Insultant,wolof
455,Espèce d'abruti !,Insultant,français
456,Mi yidi fo mbaɗo,Haineux,peul
457,Dama sa xol neexul,Haineux,wolof
458,C'est un mensonge pur et simple !,Neutre,français
459,Yawɗe hoore !,Neutre,peul
460,Tey bi amul benn xew,Neutre,wolof
461,Mi yidi fuu e no,Haineux,peul
462,Omo mi haali !,Insultant,peul
463,Ce site est génial !,Neutre,français
464,Mi yidi fo mbaɗo,Haineux,peul
465,Va te faire voir !,Neutre,français
466,Togg ngir seer,Neutre,wolof
467,On devrait te bannir !,Violent,français
468,Mi waawi haali,Insultant,peul
469,Mi andi e no,Neutre,peul
470,Togg ngir seer,Neutre,wolof
471,C'est n'importe quoi,Neutre,français
472,Tey bi amul benn xew,Neutre,wolof
473,Tu mérites la prison !,Violent,français
474,Tu mérites la prison !,Violent,français
475,Mi naamno,Neutre,peul
476,Mi waawi haali,Insultant,peul
477,Va te faire voir !,Neutre,français
478,Tey bi amul benn xew,Neutre,wolof
479,Sa baay mooy dof,Insultant,wolof
480,Ce site est génial !,Neutre,français
481,Mi yidi fo mbaɗo,Haineux,peul
482,Mi naamno,Neutre,peul
483,Togg ngir seer,Neutre,wolof
484,Tey bi amul benn xew,Neutre,wolof
485,T'es une salope !,Insultant,français
486,Sa baay mooy dof,Insultant,wolof
487,C'est n'importe quoi,Neutre,français
488,Mi andi e no,Neutre,peul
489,A jaraama !,Neutre,peul
490,T'es un idiot !,Insultant,français
491,C'est un mensonge pur et simple !,Neutre,français
492,Ñoñ lu bees ?,Neutre,wolof
493,C'est un mensonge pur et simple !,Neutre,français
494,Mi yidi fo mbaɗo,Haineux,peul
495,Yawɗe hoore !,Neutre,peul
496,Va te faire voir !,Neutre,français
497,Togg ngir seer,Neutre,wolof
498,T'es une salope !,Insultant,français
499,T'es une salope !,Insultant,français
500,T'es un idiot !,Insultant,français
